rank,token,count
1639,sittin,888
1640,jimmy,887
1641,grand,887
1642,letting,887
1643,bless,887
1644,wrapped,886
1645,hidden,885
1646,pants,884
1647,melt,883
1648,flies,882
1649,unknown,881
1650,fashion,880
1651,expect,879
1652,jail,879
1653,bread,878
1654,chair,878
1655,dreamin,877
1656,shape,877
1657,sir,875
1658,mix,875
1659,judge,875
1660,plenty,874
1661,hopes,872
1662,fading,872
1663,eternity,871
1664,leavin,870
1665,cowboy,870
1666,tip,870
1667,drives,866
1668,daughter,866
1669,leads,865
1670,thanks,865
1671,became,864
1672,bigger,864
1673,calm,863
1674,coffee,861
1675,fix,859
1676,monday,858
